ID,R_min,R_max,R_mean,R_median,R_std,G_min,G_max,G_mean,G_median,G_std,B_min,B_max,B_mean,B_median,B_std,pixel_ratio,area,perimeter,circularity_laplacian,bounding_box_ratio,center_mass_x,center_mass_y
85,4,233,77.69553858140547,75.0,52.77881863652352,0,174,22.564004252124484,13.0,25.33270898989938,0,159,22.72829697367342,13.0,25.43445812575944,0.05283633333333333,1268072,8592,0.21585655441803606,1.3345375722543353,2807.1967396173086,2592.1591896990076
86,2,255,91.79119826222774,86.0,66.16599037677628,1,255,73.792719141089,61.0,58.68186080433406,0,255,61.99315850609336,45.0,55.982204886129935,0.0253965,609516,4886,0.3208396613218776,1.0289855072463767,2875.7201976650326,1289.3835371015691
87,0,255,67.63741073183516,44.0,64.11920735358866,0,255,52.78134868636572,27.0,59.016757562236094,0,255,37.9847687217454,18.0,54.78764322695573,0.025438333333333334,610520,3695,0.5619282604018482,1.8780487804878048,3078.047533250344,2227.85662058573
88,5,249,90.54806037718417,88.0,57.640511447935644,0,210,39.04691608248931,31.0,34.50137443299979,0,176,39.15233555455466,25.0,36.03608649438299,0.0432945,1039068,5497,0.4321180028611249,1.1895424836601307,2924.533004577179,2256.899767868898
89,0,200,81.51463298859942,91.0,54.26400797878663,0,184,70.09355283166288,69.0,51.06557496605097,0,193,65.46795738853557,51.0,50.652295073106345,0.019838166666666667,476116,3903,0.3927584502866236,0.926829268292683,3215.516907644356,1996.2117887237564
90,1,255,81.16849171546137,74.0,49.59129829258736,1,255,59.108829096009394,50.0,42.399479161627994,0,255,57.07836725727274,45.0,44.602700205003934,0.0197255,473412,5044,0.23382932200138648,1.009090909090909,2917.719964850912,2245.9291188225056
91,3,255,89.4987675260541,80.0,64.29633802438006,0,255,71.18484257706395,55.0,57.53409804531566,0,255,55.7479965697726,41.0,50.37184084880473,0.039453166666666664,946876,4735,0.5307170084973121,1.1538461538461537,2252.0678652748616,1237.8021831792125
92,2,230,81.0776030255927,84.0,53.409697245301096,2,215,68.28644480618827,66.0,48.60526503889549,0,255,71.70087634480986,62.0,57.075468764059096,0.034042916666666666,817030,5547,0.33368104402835114,0.7843137254901961,2486.2061442052313,1516.9124144768246
93,1,236,75.54917430640879,68.0,51.240017745944904,0,218,56.114034428243706,45.0,44.06745153207635,0,255,42.42026171307792,30.0,40.30506630148734,0.038795666666666666,931096,4266,0.642928418488656,0.9125,3133.9495648139396,1928.9374028027185
94,3,255,96.504565997827,92.0,61.53062994815627,0,255,83.50684331635414,68.0,61.6946069417265,0,255,44.77779877799398,37.0,38.59714770491172,0.0403435,968244,7218,0.23353981025099668,0.8617511520737328,2544.313264011964,2788.0992353167176
95,0,255,71.71341695446867,55.0,62.06717409062754,0,255,54.98213657670332,38.0,50.52922798857918,0,255,31.641768670614216,21.0,31.17620335523289,0.028906833333333333,693764,4250,0.4826627290184333,1.2941176470588236,1886.3500498728674,2223.5374565414177
